Dictionary,Ruleset,K
all_dict/kb_rus_adj_it,../../rules/cap/Word_day_mon.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/Word_day_mon_dd.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/Word_day_mon_sc.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/Word_day_mon_year.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/Word_dd.rule,2.1243594033785305e-12
all_dict/kb_rus_adj_it,../../rules/cap/Word_dd_2sc.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/Word_dd_age.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/Word_dd_age_sc.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/Word_dd_sc.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/Word_ddd.rule,2.1243594033785305e-13
all_dict/kb_rus_adj_it,../../rules/cap/Word_ddd_sc.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/Word_dddd.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/Word_mon_dd.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/Word_mon_dd_sc.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/Word_pd.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/Word_sc_dd.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/Word_sc_year.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/Word_year.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/Word_year_mon.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/Word_year_sc.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/year_sc_Word.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/year_Word.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/year_Word_sc.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/1-0_sc_Word.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/1-0_Word.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/d_sc_Word.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/d_Word.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/day_cc_Word.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/day_dd_Word.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/day_mon_dd_Word.rule,5.793190080198551e-15
all_dict/kb_rus_adj_male,../../rules/cap/day_Word.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/day_Word_dd.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/day_Word_sc.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/day_Word_year.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/dd_Word.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/ddd_Word.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/dddd_Word.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/sc_dd_Word.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/sc_dddd_Word.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/sc_Word_d.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/sc_Word_dd_mon_sc.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/sc_Word_dd_sc.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/sc_Word_mon_day_sc.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/sc_Word_year.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/sc_Word_year_sc.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/sc_year_Word.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/Word_2sc_dd.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/Word_day_dd_mon.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/Word_day_mon.rule,1.522233629418503e-12
all_dict/kb_rus_adj_male,../../rules/cap/Word_day_mon_dd.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/Word_day_mon_sc.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/Word_day_mon_year.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/Word_dd.rule,2.115904744891719e-11
all_dict/kb_rus_adj_male,../../rules/cap/Word_dd_2sc.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/Word_dd_age.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/Word_dd_age_sc.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/Word_dd_sc.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/Word_ddd.rule,6.347714234675157e-13
all_dict/kb_rus_adj_male,../../rules/cap/Word_ddd_sc.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/Word_dddd.rule,1.904314270402547e-13
all_dict/kb_rus_adj_male,../../rules/cap/Word_mon_dd.rule,1.6276190345320914e-13
all_dict/kb_rus_adj_male,../../rules/cap/Word_mon_dd_sc.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/Word_pd.rule,6.223249249681526e-12
all_dict/kb_rus_adj_male,../../rules/cap/Word_sc_dd.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/Word_sc_year.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/Word_year.rule,8.138095172660457e-12
all_dict/kb_rus_adj_male,../../rules/cap/Word_year_mon.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/Word_year_sc.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/year_sc_Word.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/year_Word.rule,0.0
all_dict/kb_rus_adj_male,../../rules/cap/year_Word_sc.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/1-0_sc_Word.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/1-0_Word.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/d_sc_Word.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/d_Word.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/day_cc_Word.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/day_dd_Word.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/day_mon_dd_Word.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/day_Word.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/day_Word_dd.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/day_Word_sc.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/day_Word_year.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/dd_Word.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/ddd_Word.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/dddd_Word.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/sc_dd_Word.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/sc_dddd_Word.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/sc_Word_d.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/sc_Word_dd_mon_sc.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/sc_Word_dd_sc.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/sc_Word_mon_day_sc.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/sc_Word_year.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/sc_Word_year_sc.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/sc_year_Word.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/Word_2sc_dd.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/Word_day_dd_mon.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/Word_day_mon.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/Word_day_mon_dd.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/Word_day_mon_sc.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/Word_day_mon_year.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/Word_dd.rule,2.01782099102497e-12
all_dict/kb_rus_adj_mul,../../rules/cap/Word_dd_2sc.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/Word_dd_age.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/Word_dd_age_sc.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/Word_dd_sc.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/Word_ddd.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/Word_ddd_sc.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/Word_dddd.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/Word_mon_dd.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/Word_mon_dd_sc.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/Word_pd.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/Word_sc_dd.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/Word_sc_year.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/Word_year.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/Word_year_mon.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/Word_year_sc.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/year_sc_Word.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/year_Word.rule,0.0
all_dict/kb_rus_adj_mul,../../rules/cap/year_Word_sc.rule,0.0
all_dict/kb_rus_noun_fem,../../rules/cap/1-0_sc_Word.rule,0.0
all_dict/kb_rus_noun_fem,../../rules/cap/1-0_Word.rule,1.716022597273931e-10
all_dict/kb_rus_noun_fem,../../rules/cap/d_sc_Word.rule,0.0
all_dict/kb_rus_noun_fem,../../rules/cap/d_Word.rule,7.35438255974542e-11
all_dict/kb_rus_noun_fem,../../rules/cap/day_cc_Word.rule,0.0
all_dict/kb_rus_noun_fem,../../rules/cap/day_dd_Word.rule,8.698732059913937e-13
all_dict/kb_rus_noun_fem,../../rules/cap/day_mon_dd_Word.rule,5.3695342311871054e-14
