dictionary,rule,size,k1,
kb_rus_adj_mul,year_word_sc.rule,15888080,3.861185009826581,
kb_rus_noun_fem,1-0_sc_word.rule,1038899,3.861185009826581,
kb_rus_noun_fem,1-0_word.rule,253390,3.861185009826581,
kb_rus_noun_fem,day_cc_word.rule,785509,3.861185009826581,
kb_rus_noun_fem,day_dd_word.rule,78550900,3.861185009826581,
kb_rus_noun_fem,day_mon_dd_word.rule,925481636,3.861185009826581,
kb_rus_noun_fem,day_word.rule,785509,3.861185009826581,
kb_rus_noun_fem,day_word_dd.rule,78550900,3.861185009826581,
kb_rus_noun_fem,day_word_sc.rule,3927545,4.5845123154323675,
kb_rus_noun_fem,day_word_year.rule,130242460,3.861185009826581,
kb_rus_noun_fem,dddd_word.rule,253390000,3.861185009826581,
kb_rus_noun_fem,ddd_word.rule,25339000,5.350388286073789,
kb_rus_noun_fem,dd_word.rule,2533900,3.861185009826581,
kb_rus_noun_fem,d_sc_word.rule,1266950,3.861185009826581,
kb_rus_noun_fem,d_word.rule,253390,3.861185009826581,
kb_rus_noun_fem,sc_dddd_word.rule,1266950000,3.861185009826581,
kb_rus_noun_fem,sc_dd_word.rule,12669500,3.861185009826581,
kb_rus_noun_fem,sc_word_d.rule,1013560,3.861185009826581,
kb_rus_noun_fem,sc_word_dd_mon_sc.rule,131762800,3.861185009826581,
kb_rus_noun_fem,sc_word_dd_sc.rule,10135600,3.861185009826581,
kb_rus_noun_fem,sc_word_mon_day_sc.rule,42164096,3.861185009826581,
kb_rus_noun_fem,sc_word_year.rule,13176280,4.5845123154323675,
kb_rus_noun_fem,sc_word_year_sc.rule,13176280,3.861185009826581,
kb_rus_noun_fem,sc_year_word.rule,16470350,3.861185009826581,
kb_rus_noun_fem,word_2sc_dd.rule,17762639,3.861185009826581,
kb_rus_noun_fem,word_day_dd_mon.rule,1054127739,3.861185009826581,
kb_rus_noun_fem,word_day_mon.rule,10591702,4.421723126418509,
kb_rus_noun_fem,word_day_mon_dd.rule,925481636,3.861185009826581,
kb_rus_noun_fem,word_day_mon_sc.rule,63398178,4.5845123154323675,
kb_rus_noun_fem,word_day_mon_year.rule,471305400,3.861185009826581,
kb_rus_noun_fem,word_dd.rule,2533900,7.549992087405868,
kb_rus_noun_fem,word_ddd.rule,25339000,5.705588548616224,
kb_rus_noun_fem,word_dddd.rule,253390000,4.421723126418509,
